Pays	sélectionneur	nationalité	2000
Ethiopie	 Sewnet Bishaw	 Ethiope	 2013
Cote d'Ivoire	 Sabri Lamouchi	 France	 2013
Tunisie	 Sami Trabelsi	 Tunisie	 2013
Algérie	 Vahid Halilhodzic	 Bosnie	 2013
Togo	 Didier Six	 France	 2013
Guinée équatoriale	 Esteban Becker	 Argentine	 2015
Burkina Faso	 Paul Rut	 Belgique	 2015
Gabon	 Jorge Costa	 Portugal	 2015
Congo	 Claud Le Roy	 France	 2015
Zambie	 Honour Janza	 Zambie	 2015
Tunisie	 Georges Leekens	 Tunisie	 2015
Cap Vert	 Rui Aguas	 Portugal	 2015
RD Congo	 Florent Ibengué	 RD Congo	 2015
Ghana	 Avram Grant	 Israel	 2015
Algérie	 Christian Gourcuff	 France	 2015
Alfrique du Sud	 Ephraim Mashaba	 Afrique du Sud	 2015
Senegal	 Alain Giresse	 France	 2015
Cote d'Ivoire	 Hervé Renard	 France	 2015
Mali	 Henryk Kasperczak	 Pologne	 2015
Cameroun	 Volker Finke	 Allemagne	 2015
Guinée	 Michel Dussuyer	 France	 2015
Gabon	 Jose Antonio Camacho	 Espagne	 2017
Burkina Faso	 Paulo Duarte	 Portugal	 2017
Cameroun	 Hugo Broos	 Belgique	 2017
Guinée Bissau	 Baciro Candé	 Guinée Bissau	 2017
Algérie	 Georges Leekens	 Belgique	 2017
Tunisie	 Henryk Kasperczak	 Pologne	 2017
Senegal	 Aliou Cisse	 Senegal	 2017
Zimbabwe	 Callisto Pasuwa	 Zimbabwe	 2017
Cote d'Ivoire	 Michel Dussuyer	 France	 2017
RD Congo	 Florent Ibengé	 RD Congo	 2017
Maroc	 Hervé Renard	 France	 2017
Togo	 Claude Le Roy	 France	 2017
Ghana	 Avram Grant	 Israel	 2017
Mali	 Alain Giresse	 France	 2017
Egypte	 Hector Cuper	 Argentine	 2017
Uganda	 Mulutin Sredojevic	 Serbie	 2017
Egype	 Javier Aguire	 Mexique	 2019
RD Congo	 Florent Ibengé	 RD Congo	 2019
Uganda	 Sebastien Desabre	 France	 2019
Zimbabwe	 Sunday Chidzambwa	 France	 2019
Nigeria	 Gernot Rohr	 Belgique	 2019
Guinée	 Paul Put	 Belgique	 2019
Madagascar	 Nicolas Dupuis	 France	 2019
Burundi	 Olivier Niyungeko	 Burundi	 2019
Senegal	 Aliou Cisse	 Senegal	 2019
Algérie	 Djamel Belmadi	 Algérie	 2019
Kenya	 Sebastien Migné	 France	 2019
Tanzanie	 Emmanuel Amunike	 Nigeria	 2019
Maroc	 Hervé Renard	 France	 2019
Cote d'Ivoire	 Ibrahim Kamara	 Cote d'Ivoire	 2019
Afrique du Sud	 Stuart Baxter	 Angleterre	 2019
Namibie	 Ricardo Mannetti	 Namibie	 2019
Tunisie	 Alain Giresse	 France	 2019
Mali	 Mohamed Magassouba	 Mali	 2019
Mauritanie	 Corentin Martins	 France	 2019
Angola	 Srdan Vasiljevic	 Serbie	 2019
Cameroun	 Clarence Seedorf	 Pays-bas	 2019
Ghana	 James Kwesi Appiah	 Ghana	 2019
Benin	 Michel Dussuyer	 France	 2019
Guinée Bissau	 Baciro Candé	 Guinée Bissau	 2019
Burkina Faso	 Kamou Malo	 Burkina Faso	 2021
Cameroun	 Toni Conçeidao	 Portugal	 2021
Cap Vert	 Pedro Leitao Brito	 Cap Vert	 2021
Ethiopie	 Wubetu Abate	 Ethiopie	 2021
Guinée	 Kaba Diawara	 Guinée	 2021
Malawi	 Mario Marinica	 Roumanie	 2021
Senegal	 Aliou Cisse	 Senegal	 2021
Zimbabwe	 Norman Mapeza	 Zimbabwe	 2021
Comores	 Amir Abdou	 France	 2021
Gabon	 Patrice Neveu	 France	 2021
Ghana	 Milovan Rajevac	 Serbie	 2021
Maroc	 Vahid HalilHodzic	 Bosnie	 2021
Egypte	 Carlos Queiroz	 Portugal	 2021
Guinée Bissau	 Baciro Candé	 Guinée Bissau	 2021
Nigeria	 Augustine Eguavoen	 Nigeria	 2021
Soudan	 Burhan Tia	 Soudan	 2021
Algérie	 Djamel Belmadi	 Algérie	 2021
Guinée Equatoriale	 Juan Micha	 Guinée Equatoriale	 2021
Cote d'Ivoire	 Patrice Beaumelle	 France	 2021
Sierra Leone	 John Keister	 Sierra Leone	 2021
Gambie	 Tom Saintfiet	 Belgique	 2021
Mali	 Mohamed Magassouba	 Mali	 2021
Mauritanie	 Didie Gomes Da Rosa	 France	 2021
Tunisie	 Mondher Kebaier	 Tunisie	 2021
